mask,closed_border,social_restrictions,space_closures,state_of_emergency,testing_screening,mask_prior,closed_border_prior,social_restrictions_prior,space_closures_prior,state_of_emergency_prior,testing_screening_prior,New_cases,New_deaths
0,0,0,1,0,1,0,0,1,1,0,0,-0.06872987898926701,0.7364146311788795
0,1,0,0,0,1,1,0,1,1,0,1,0.037898281295787754,-0.49856208151685416
0,1,0,0,1,1,1,0,1,1,0,0,-0.9911707961713107,0.7375652278271004
0,0,0,0,1,0,1,0,1,1,0,1,1.077113842895341,-0.5983868616584801
0,0,0,0,1,1,1,0,1,1,0,0,1.477258818280772,0.5808491748290614
0,0,1,0,0,1,1,0,1,1,0,0,-0.482381919483019,-1.1444060563592797
1,0,0,0,0,1,1,0,1,1,0,1,1.1117754657157546,-0.12450571342208147
0,1,0,0,0,1,1,0,0,1,0,0,-0.5032386087302144,0.47596822223996693
0,1,0,0,1,0,1,0,0,1,0,1,-0.06199734686554673,1.709510731082869
0,0,0,0,1,0,1,0,0,1,0,1,-1.837670837850823,-1.5875784979642542
0,0,0,0,1,1,1,0,0,1,0,0,-0.3997071781326197,0.029356732061944946
0,0,0,0,0,1,1,0,1,1,0,1,-0.20291867118295534,-1.321672648686118
0,0,0,1,0,1,1,0,1,1,0,1,-0.9124393253136401,-0.8222303762305637
0,0,1,1,0,1,1,0,0,1,0,1,-0.41272591327301505,0.4264260041187798
0,1,0,1,1,1,1,0,0,1,0,1,0.7135438905212673,-0.5322928279665208
0,0,0,0,0,1,1,0,0,1,0,0,0.6423895778109404,-0.2478347268224494
0,0,0,0,0,0,1,0,0,1,0,1,-0.693312964544374,1.0409928610376105
0,0,0,0,1,1,1,0,0,1,0,0,-0.19943624479529154,-0.5121043469028217
0,0,0,0,0,0,1,0,1,1,0,1,0.20847002557377303,0.3079675687652066
0,0,0,1,0,1,0,0,0,0,0,1,-0.4395522287132951,0.8945744529515522
0,0,0,1,1,1,1,0,1,1,0,1,-0.3271927429138398,-1.6196626351183816
0,0,0,0,1,1,1,0,0,1,0,0,-0.3000180900622623,0.33857184957628333
0,0,0,0,1,0,0,0,1,1,0,1,-0.24311498138488544,0.7050882558671151
0,0,0,1,0,1,0,0,1,0,0,1,0.4134291427318836,0.8842722842345205
0,0,0,0,1,1,1,0,1,1,0,1,0.9491165985179574,1.1616921130405964
0,0,0,0,0,0,1,0,0,0,0,0,-0.5667321377457448,0.07330667685770052
0,0,0,0,0,1,1,0,1,0,0,0,0.3103038100815414,-0.6830469420238443
0,0,0,0,0,1,0,0,1,1,0,0,0.7816890365694737,0.2376013248676564
0,0,0,0,0,1,1,0,1,1,0,1,-0.6925415467074401,-0.4142144660488631
0,0,0,0,0,1,1,0,0,0,0,1,0.3199277007917833,0.639469581602832
0,0,0,1,0,1,1,0,1,1,0,1,-0.10026092619954169,-1.593163433508778
0,1,0,1,1,1,1,0,1,1,0,0,-1.6179651086111684,-0.48793250475872785
0,1,0,0,1,1,1,0,0,1,0,1,-0.15908598619377934,-0.12775382976962157
0,1,0,1,0,0,1,0,1,1,0,1,-0.08954671808770696,-0.961300451910923
0,0,0,0,0,0,1,0,1,1,0,0,-0.25001916195051677,-0.36090570392604965
0,0,1,0,0,1,1,0,0,0,0,1,-1.1800925057930738,-0.6430429722467415
0,0,1,0,0,0,1,0,0,1,0,0,0.3757850604774022,-0.5454920270667137
0,0,0,1,1,0,1,0,1,1,0,0,-0.6671112481631107,-0.26412353908289826
1,0,1,0,0,0,1,0,0,1,0,0,1.0282160107880052,-1.426923416937944
0,0,0,0,0,1,1,0,1,1,0,1,-0.6746299107995049,-0.7818628486077548
0,0,0,0,0,1,0,0,0,1,0,0,0.2991510434049799,-0.6207419425811813
0,0,0,0,0,1,1,0,1,1,0,0,-1.2611308813719575,-1.7601090216176687
0,0,0,1,0,1,1,0,0,1,0,0,1.4785829439420444,0.6515909628115846
0,0,1,0,0,0,1,0,0,1,0,0,0.08374941059376438,-1.0195730462414871
0,1,0,0,0,1,1,0,1,0,0,1,1.086528067574927,0.6861789996827287
0,0,0,0,0,1,1,0,0,1,0,1,1.4649474043782424,-1.4214776993363079
0,0,0,0,0,1,1,0,1,1,0,0,-0.3738112214977122,-1.8430361307661012
1,1,1,1,0,1,0,0,1,1,0,1,0.7866086787237943,1.2937391806686078
0,0,0,0,0,0,1,0,0,1,0,1,1.7098509330487541,-1.4615674647908081
0,0,0,0,0,1,1,0,1,1,0,0,1.1173570338974754,-0.5627251065198048
0,1,0,0,1,1,1,0,1,1,0,0,0.8538542737090237,0.7602325499672616
0,0,0,0,1,0,1,0,1,1,0,1,-1.1705253543887069,0.19676928412365036
0,0,0,1,1,1,1,0,0,1,0,0,-1.1513293051857618,0.802529920884646
0,0,0,1,0,1,1,0,1,1,0,1,-1.4208205211400122,-1.3859817409500916
